time/s;current/A;battery voltage/V
115335.079430862;-0;2.5350206
115335.079630862;-0.87807513;2.5362601
115336.079630623;-179.778;2.6213238
115337.079630385;-179.75423;2.6453807
115338.079630147;-179.80853;2.6632226
115339.079629908;-179.87981;2.6792605
115340.07962967;-179.93413;2.6940453
115341.079629431;-179.81872;2.706625
115342.079629193;-179.79497;2.7203071
115343.079628955;-179.84586;2.7314835
115344.079628716;-180.29045;2.7407053
115345.079628478;-179.86963;2.7509794
115346.079628239;-179.93413;2.7609029
115347.079628003;-179.73728;2.7696736
115348.079627768;-180.13092;2.777492
115349.079627533;-179.76442;2.786814
115350.079627299;-180.33455;2.7930787
115351.079627064;-180.21239;2.8002956
115352.079626829;-179.72369;2.8080139
115353.079626595;-179.99858;2.8139279
115354.07962636;-180.00877;2.8208442
115355.079626125;-179.99858;2.8275599
115356.07962589;-180.18184;2.8328223
115357.079625656;-179.78478;2.8400393
115358.079625421;-180.14452;2.8452516
115359.079625186;-180.23953;2.8502133
115360.079624952;-180.1072;2.8562274
115361.079624717;-180.15128;2.8611891
115362.079624482;-179.87302;2.8675041
115363.079624248;-179.97822;2.8723655
115364.079624013;-180.01556;2.8764751
115365.079623778;-179.98502;2.8817878
115366.079623544;-179.81872;2.8878019
115367.079623309;-179.93748;2.8916109
115368.079623074;-179.96125;2.8959711
115369.079622839;-179.92053;2.9002812
115370.079622605;-179.81872;2.9053433
115371.07962237;-179.80514;2.9094529
115372.079622135;-180.01216;2.9147153
115373.079621901;-179.97144;2.9167202
115374.079621663;-179.85945;2.9216816
115375.079621424;-180.00197;2.9255409
115376.079621186;-179.90358;2.9285979
115377.079620947;-179.75764;2.9337101
115378.079620709;-180.02573;2.9369175
115379.079620471;-179.95448;2.9410274
115380.079620232;-180.24633;2.9442348
115381.079619994;-180.37189;2.9477432
115382.079619755;-179.71352;2.9516022
115383.079619517;-180.1038;2.954459
115384.079619279;-179.97822;2.9588695
115385.07961904;-180.00538;2.9613252
115386.079618802;-179.88659;2.9657354
115387.079618563;-179.95108;2.9682915
115388.079618325;-179.73388;2.9720004
115389.079618086;-179.98841;2.9747567
115390.079617848;-179.84927;2.9787662
115391.079617609;-179.85266;2.9813724
115392.079617371;-179.77122;2.9844797
115393.079617133;-179.90695;2.9872363
115394.079616894;-180.02233;2.9901431
115395.079616656;-179.90017;2.9921477
115396.079616417;-179.778;2.9959567
115397.079616179;-179.79836;2.9984627
115398.07961594;-179.82891;3.0012693
115399.079615702;-180.1072;3.0039256
115400.079615466;-180.06984;3.0073335
115401.079615232;-180.33117;3.0087869
115402.079614997;-180.21239;3.011694
115403.079614762;-179.78817;3.0145004
115404.079614528;-180.04948;3.016856
115405.079614293;-179.84248;3.0203142
115406.079614058;-179.63547;3.0224192
115407.079613824;-179.94767;3.0249751
115408.079613589;-180.21917;3.0268295
115409.079613354;-179.84586;3.028784
115410.079613119;-179.73728;3.0320418
115411.079612885;-179.83909;3.0356503
115412.07961265;-179.97822;3.0371037
115413.079612415;-180.04609;3.038908
115414.079612181;-179.7305;3.0415642
115415.079611946;-179.93072;3.0442705
115416.079611711;-179.99858;3.0458744
115417.079611477;-180.2022;3.0473278
115418.079611242;-179.90695;3.0508862
115419.079611007;-179.94767;3.0529411
115420.079610773;-179.9443;3.0552967
115421.079610538;-180.1072;3.0565996
115422.079610303;-180.11056;3.0586545
115423.079610068;-180.02573;3.060559
115424.079609834;-179.90695;3.0635159
115425.079609599;-179.81533;3.065671
115426.079609364;-179.72031;3.0686281
115427.079609126;-180.08003;3.0698309
115428.079608888;-179.84586;3.0713344
115429.079608649;-179.87641;3.0726376
115430.079608411;-179.8832;3.0749428
115431.079608172;-179.81872;3.0774488
115432.079607934;-180.03931;3.0795538
115433.079607695;-180.02573;3.0815084
115434.079607457;-180.02913;3.0833628
115435.079607219;-179.80514;3.0853674
115436.07960698;-179.9918;3.086019
115437.079606742;-180.03931;3.0887754
115438.079606503;-180.33795;3.0901787
115439.079606265;-179.86963;3.0928349
115440.079606027;-179.88659;3.0943887
115441.079605788;-180.08344;3.0955415
115442.07960555;-180.00538;3.0972955
115443.079605311;-180.07325;3.0991499
115444.079605073;-179.6253;3.1023576
115445.079604834;-179.95784;3.1029088
115446.079604596;-179.85266;3.1056151
115447.079604358;-180.03931;3.1059661
115448.079604119;-180.06984;3.1088228
